# binIndex1	binCenter1	binIndex2	binCenter2	count
5	2.40657e-07	32	0.0813836	0
5	2.40657e-07	33	0.100021	0
5	2.40657e-07	34	0.122927	0
5	2.40657e-07	35	0.151078	0
5	2.40657e-07	36	0.185676	0
5	2.40657e-07	37	0.228198	0
5	2.40657e-07	38	0.280457	0
5	2.40657e-07	39	0.344684	0
6	2.82322e-07	0	0.000110861	1.66341e+10
6	2.82322e-07	1	0.000136249	1.43052e+10
6	2.82322e-07	2	0.000167451	1.35912e+10
6	2.82322e-07	3	0.000205799	1.1718e+10
6	2.82322e-07	4	0.000252928	1.09475e+10
6	2.82322e-07	5	0.000310851	1.02073e+10
6	2.82322e-07	6	0.000382039	9.20448e+09
6	2.82322e-07	7	0.000469529	8.08337e+09
6	2.82322e-07	8	0.000577055	7.99214e+09
6	2.82322e-07	9	0.000709206	6.45031e+09
6	2.82322e-07	10	0.00087162	5.98389e+09
6	2.82322e-07	11	0.00107123	5.59303e+09
6	2.82322e-07	12	0.00131655	4.96441e+09
6	2.82322e-07	13	0.00161805	4.2862e+09
6	2.82322e-07	14	0.0019886	3.77188e+09
6	2.82322e-07	15	0.00244401	2.9751e+09
6	2.82322e-07	16	0.0030037	2.40191e+09
6	2.82322e-07	17	0.00369158	1.78505e+09
6	2.82322e-07	18	0.00453698	1.55502e+09
6	2.82322e-07	19	0.00557599	1.09721e+09
6	2.82322e-07	20	0.00685294	5.58493e+08
6	2.82322e-07	21	0.00842232	3.36404e+08
6	2.82322e-07	22	0.0103511	1.82891e+08
6	2.82322e-07	23	0.0127216	8.10865e+07
6	2.82322e-07	24	0.015635	2.03514e+07
6	2.82322e-07	25	0.0192155	1.05205e+06
6	2.82322e-07	26	0.023616	0
6	2.82322e-07	27	0.0290243	0
6	2.82322e-07	28	0.0356711	0
6	2.82322e-07	29	0.0438401	0
6	2.82322e-07	30	0.0538799	0
6	2.82322e-07	31	0.0662189	0
6	2.82322e-07	32	0.0813836	0
6	2.82322e-07	33	0.100021	0
6	2.82322e-07	34	0.122927	0
6	2.82322e-07	35	0.151078	0
6	2.82322e-07	36	0.185676	0
6	2.82322e-07	37	0.228198	0
6	2.82322e-07	38	0.280457	0
6	2.82322e-07	39	0.344684	0
7	3.312e-07	0	0.000110861	1.18858e+10
7	3.312e-07	1	0.000136249	1.02523e+10
7	3.312e-07	2	0.000167451	9.31744e+09
7	3.312e-07	3	0.000205799	9.07508e+09
7	3.312e-07	4	0.000252928	8.81201e+09
7	3.312e-07	5	0.000310851	7.62204e+09
7	3.312e-07	6	0.000382039	6.97769e+09
7	3.312e-07	7	0.000469529	6.55666e+09
7	3.312e-07	8	0.000577055	6.0536e+09
7	3.312e-07	9	0.000709206	5.89199e+09
7	3.312e-07	10	0.00087162	4.7844e+09
7	3.312e-07	11	0.00107123	4.33942e+09
7	3.312e-07	12	0.00131655	4.20536e+09
7	3.312e-07	13	0.00161805	3.57791e+09
7	3.312e-07	14	0.0019886	3.1901e+09
7	3.312e-07	15	0.00244401	2.71072e+09
7	3.312e-07	16	0.0030037	2.14088e+09
7	3.312e-07	17	0.00369158	1.62713e+09
7	3.312e-07	18	0.00453698	1.22623e+09
7	3.312e-07	19	0.00557599	1.05281e+09
7	3.312e-07	20	0.00685294	6.27446e+08
7	3.312e-07	21	0.00842232	3.38872e+08
7	3.312e-07	22	0.0103511	1.75878e+08
7	3.312e-07	23	0.0127216	7.39679e+07
7	3.312e-07	24	0.015635	2.12443e+07
7	3.312e-07	25	0.0192155	2.36959e+06
7	3.312e-07	26	0.023616	192432
7	3.312e-07	27	0.0290243	78264.3
7	3.312e-07	28	0.0356711	0
7	3.312e-07	29	0.0438401	0
7	3.312e-07	30	0.0538799	0
7	3.312e-07	31	0.0662189	0
7	3.312e-07	32	0.0813836	0
7	3.312e-07	33	0.100021	0
7	3.312e-07	34	0.122927	0
7	3.312e-07	35	0.151078	0
7	3.312e-07	36	0.185676	0
7	3.312e-07	37	0.228198	0
7	3.312e-07	38	0.280457	0
7	3.312e-07	39	0.344684	0
8	3.8854e-07	0	0.000110861	8.56638e+09
8	3.8854e-07	1	0.000136249	7.53166e+09
8	3.8854e-07	2	0.000167451	6.63503e+09
8	3.8854e-07	3	0.000205799	6.61744e+09
8	3.8854e-07	4	0.000252928	6.03818e+09
8	3.8854e-07	5	0.000310851	5.96816e+09
8	3.8854e-07	6	0.000382039	5.41908e+09
8	3.8854e-07	7	0.000469529	5.02725e+09
8	3.8854e-07	8	0.000577055	5.05701e+09
8	3.8854e-07	9	0.000709206	4.52005e+09
8	3.8854e-07	10	0.00087162	4.0499e+09
8	3.8854e-07	11	0.00107123	3.48133e+09
8	3.8854e-07	12	0.00131655	3.22975e+09
8	3.8854e-07	13	0.00161805	3.10883e+09
8	3.8854e-07	14	0.0019886	2.72192e+09
8	3.8854e-07	15	0.00244401	2.28694e+09
8	3.8854e-07	16	0.0030037	1.90517e+09
8	3.8854e-07	17	0.00369158	1.51673e+09
8	3.8854e-07	18	0.00453698	1.05408e+09
8	3.8854e-07	19	0.00557599	8.55663e+08
8	3.8854e-07	20	0.00685294	6.43889e+08
8	3.8854e-07	21	0.00842232	3.62744e+08
8	3.8854e-07	22	0.0103511	1.97285e+08
8	3.8854e-07	23	0.0127216	9.03837e+07
8	3.8854e-07	24	0.015635	2.43133e+07
8	3.8854e-07	25	0.0192155	4.77738e+06
8	3.8854e-07	26	0.023616	297294
8	3.8854e-07	27	0.0290243	0
8	3.8854e-07	28	0.0356711	87955.1
8	3.8854e-07	29	0.0438401	0
8	3.8854e-07	30	0.0538799	0
8	3.8854e-07	31	0.0662189	0
8	3.8854e-07	32	0.0813836	0
8	3.8854e-07	33	0.100021	0
8	3.8854e-07	34	0.122927	0
8	3.8854e-07	35	0.151078	0
8	3.8854e-07	36	0.185676	0
8	3.8854e-07	37	0.228198	0
8	3.8854e-07	38	0.280457	0
8	3.8854e-07	39	0.344684	0
9	4.55807e-07	0	0.000110861	6.60139e+09
9	4.55807e-07	1	0.000136249	6.21672e+09
9	4.55807e-07	2	0.000167451	5.76164e+09
