# hist_val	vel_center	shear_center
2.391518460188543117e-08 1.490607486692709597e-07 6.653149129022080041e-04
2.088474704273527403e-08 1.490607486692709597e-07 8.314841872452567988e-04
2.569044061834810204e-08 1.490607486692709597e-07 1.039155954919240626e-03
4.148411221209145038e-08 1.490607486692709597e-07 1.298695892487976636e-03
5.532989516365507303e-08 1.490607486692709597e-07 1.623058611347917091e-03
6.533786150269801137e-08 1.490607486692709597e-07 2.028434270954636732e-03
8.810340105442695266e-08 1.490607486692709597e-07 2.535056690384226725e-03
1.306873210688192405e-07 1.490607486692709597e-07 3.168213294107543893e-03
1.609873932625312251e-07 1.490607486692709597e-07 3.959507302157582939e-03
2.131071445904880518e-07 1.490607486692709597e-07 4.948435165333612412e-03
3.298562742686210943e-07 1.490607486692709597e-07 6.184357981147564805e-03
4.712984059289470446e-07 1.490607486692709597e-07 7.728965291274075139e-03
9.418169577232258719e-07 1.490607486692709597e-07 9.659354237872657539e-03
7.505008291591636250e-07 1.490607486692709597e-07 1.207187777101895176e-02
3.305104425053441195e-07 1.490607486692709597e-07 1.508695398570625290e-02
1.497925614495528295e-07 1.490607486692709597e-07 1.885507664045917367e-02
2.464831783636175410e-07 1.490607486692709597e-07 2.356432686507902927e-02
3.816590433302529187e-08 1.490607486692709597e-07 2.944976099501883313e-02
9.893338383769323396e-11 1.490607486692709597e-07 3.680514311439994635e-02
0.000000000000000000e+00 1.490607486692709597e-07 4.599760792288207223e-02
0.000000000000000000e+00 1.490607486692709597e-07 5.748598580504876709e-02
0.000000000000000000e+00 1.490607486692709597e-07 7.184370477522883380e-02
0.000000000000000000e+00 1.490607486692709597e-07 8.978741241968792031e-02
0.000000000000000000e+00 1.490607486692709597e-07 1.122127464646390793e-01
0.000000000000000000e+00 1.490607486692709597e-07 1.402390394132390916e-01
0.000000000000000000e+00 1.490607486692709597e-07 1.752651886276178905e-01
0.000000000000000000e+00 1.490607486692709597e-07 2.190394805412121115e-01
0.000000000000000000e+00 1.490607486692709597e-07 2.737468541896386776e-01
0.000000000000000000e+00 1.490607486692709597e-07 3.421179597101169367e-01
0.000000000000000000e+00 1.490607486692709597e-07 4.275654553280463510e-01
0.000000000000000000e+00 1.490607486692709597e-07 5.343543459243703664e-01
0.000000000000000000e+00 1.490607486692709597e-07 6.678148654202835655e-01
2.117471021223157890e-09 1.748673052288317423e-07 1.117926801369632724e-04
4.261568434455517002e-09 1.748673052288317423e-07 1.397140571795882510e-04
6.374834478871382881e-09 1.748673052288317423e-07 1.746090866563554530e-04
7.399571710356087073e-09 1.748673052288317423e-07 2.182195103229805076e-04
6.428302450674910906e-09 1.748673052288317423e-07 2.727220879364708039e-04
9.521446250524128602e-09 1.748673052288317423e-07 3.408372474960846919e-04
1.238587209257866438e-08 1.748673052288317423e-07 4.259648720046778597e-04
1.420108705629807844e-08 1.748673052288317423e-07 5.323540003768097682e-04
2.132979431555999394e-08 1.748673052288317423e-07 6.653149129022080041e-04
2.322225635772350374e-08 1.748673052288317423e-07 8.314841872452567988e-04
2.985888507823467215e-08 1.748673052288317423e-07 1.039155954919240626e-03
