# binIndex1	binCenter1	binIndex2	binCenter2	count
2	2.97018e-06	45	0.225768	0
2	2.97018e-06	46	0.239128	0
2	2.97018e-06	47	0.252489	0
2	2.97018e-06	48	0.265849	0
2	2.97018e-06	49	0.279209	0
3	4.15825e-06	0	-0.375439	0
3	4.15825e-06	1	-0.362079	0
3	4.15825e-06	2	-0.348719	0
3	4.15825e-06	3	-0.335359	0
3	4.15825e-06	4	-0.321999	0
3	4.15825e-06	5	-0.308638	0
3	4.15825e-06	6	-0.295278	0
3	4.15825e-06	7	-0.281918	0
3	4.15825e-06	8	-0.268558	0
3	4.15825e-06	9	-0.255198	0
3	4.15825e-06	10	-0.241838	0
3	4.15825e-06	11	-0.228477	0
3	4.15825e-06	12	-0.215117	4.82354e-07
3	4.15825e-06	13	-0.201757	0
3	4.15825e-06	14	-0.188397	0
3	4.15825e-06	15	-0.175037	4.8257e-07
3	4.15825e-06	16	-0.161677	4.78714e-07
3	4.15825e-06	17	-0.148316	0
3	4.15825e-06	18	-0.134956	0
3	4.15825e-06	19	-0.121596	1.01548e-06
3	4.15825e-06	20	-0.108236	1.00351e-06
3	4.15825e-06	21	-0.0948757	1.40577e-06
3	4.15825e-06	22	-0.0815155	2.21253e-06
3	4.15825e-06	23	-0.0681554	4.41295e-05
3	4.15825e-06	24	-0.0547952	0.000432493
3	4.15825e-06	25	-0.041435	0.00692491
3	4.15825e-06	26	-0.0280749	0.0390739
3	4.15825e-06	27	-0.0147147	0.184209
3	4.15825e-06	28	-0.00135454	0.461827
3	4.15825e-06	29	0.0120056	0.241186
3	4.15825e-06	30	0.0253658	0.054795
3	4.15825e-06	31	0.038726	0.0105764
3	4.15825e-06	32	0.0520861	0.000834135
3	4.15825e-06	33	0.0654463	7.16005e-05
3	4.15825e-06	34	0.0788065	8.34099e-06
3	4.15825e-06	35	0.0921666	3.73627e-06
3	4.15825e-06	36	0.105527	2.23524e-06
3	4.15825e-06	37	0.118887	1.93961e-06
3	4.15825e-06	38	0.132247	7.20946e-07
3	4.15825e-06	39	0.145607	7.19385e-07
3	4.15825e-06	40	0.158967	0
3	4.15825e-06	41	0.172328	0
3	4.15825e-06	42	0.185688	4.82354e-07
3	4.15825e-06	43	0.199048	0
3	4.15825e-06	44	0.212408	0
3	4.15825e-06	45	0.225768	0
3	4.15825e-06	46	0.239128	0
3	4.15825e-06	47	0.252489	0
3	4.15825e-06	48	0.265849	0
3	4.15825e-06	49	0.279209	0
4	5.34633e-06	0	-0.375439	0
4	5.34633e-06	1	-0.362079	0
4	5.34633e-06	2	-0.348719	0
4	5.34633e-06	3	-0.335359	0
4	5.34633e-06	4	-0.321999	0
4	5.34633e-06	5	-0.308638	0
4	5.34633e-06	6	-0.295278	0
4	5.34633e-06	7	-0.281918	0
4	5.34633e-06	8	-0.268558	0
4	5.34633e-06	9	-0.255198	0
4	5.34633e-06	10	-0.241838	0
4	5.34633e-06	11	-0.228477	0
4	5.34633e-06	12	-0.215117	0
4	5.34633e-06	13	-0.201757	0
4	5.34633e-06	14	-0.188397	0
4	5.34633e-06	15	-0.175037	1.26517e-06
4	5.34633e-06	16	-0.161677	0
4	5.34633e-06	17	-0.148316	6.31933e-07
4	5.34633e-06	18	-0.134956	0
4	5.34633e-06	19	-0.121596	6.33252e-07
4	5.34633e-06	20	-0.108236	8.1118e-07
4	5.34633e-06	21	-0.0948757	1.17141e-05
4	5.34633e-06	22	-0.0815155	1.76361e-05
4	5.34633e-06	23	-0.0681554	9.87179e-05
4	5.34633e-06	24	-0.0547952	0.00106579
4	5.34633e-06	25	-0.041435	0.00837398
4	5.34633e-06	26	-0.0280749	0.0498566
4	5.34633e-06	27	-0.0147147	0.185731
4	5.34633e-06	28	-0.00135454	0.445645
4	5.34633e-06	29	0.0120056	0.231234
4	5.34633e-06	30	0.0253658	0.0651713
4	5.34633e-06	31	0.038726	0.0110232
4	5.34633e-06	32	0.0520861	0.0015755
4	5.34633e-06	33	0.0654463	0.000147927
4	5.34633e-06	34	0.0788065	2.709e-05
4	5.34633e-06	35	0.0921666	1.13432e-05
4	5.34633e-06	36	0.105527	1.78665e-06
4	5.34633e-06	37	0.118887	8.92031e-07
4	5.34633e-06	38	0.132247	3.09529e-06
4	5.34633e-06	39	0.145607	0
4	5.34633e-06	40	0.158967	0
4	5.34633e-06	41	0.172328	0
4	5.34633e-06	42	0.185688	0
4	5.34633e-06	43	0.199048	0
4	5.34633e-06	44	0.212408	0
4	5.34633e-06	45	0.225768	0
